what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276501082218
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276501110956
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276501436444
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276502006487
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276502008040
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276502008238
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276502010775
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276503144945
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276503146160
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276503906713
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276503907537
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276503910210
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276503910218
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276503928875
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276503931438
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276503936421
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276503936826
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276505470659
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276505475598
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276505483558
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276505488805
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1276505503721
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1276505503840
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1276505504018
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,"org.eclipse.jst.ws.axis2.creation.ui",1276505504163
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.102.v200807232000,"org.eclipse.jst.ws.axis2.consumption.ui",1276505504374
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.105.v200901220134,"org.eclipse.jst.ws.axis2.creation.core",1276505504502
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.consumption.core",1276505504680
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.302.v200905260749,"org.eclipse.jst.ws.axis2.ui",1276505504680
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.core",1276505504749
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.409.v200911241856,"org.eclipse.jst.ws.creation.ui",1276505504896
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1276563581150
started,bundle,org.eclipse.osgi,3.5.2.R35x_v20100126,"org.eclipse.osgi",1276563581152
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1276563581154
started,bundle,com.ibm.icu,4.0.1.v20090822,"com.ibm.icu",1276563581155
started,bundle,org.eclipse.core.contenttype,3.4.1.R35x_v20090826-0451,"org.eclipse.core.contenttype",1276563581157
started,bundle,org.eclipse.core.databinding.observable,1.2.0.M20090902-0800,"org.eclipse.core.databinding.observable",1276563581159
started,bundle,org.eclipse.core.expressions,3.4.101.R35x_v20100209,"org.eclipse.core.expressions",1276563581160
started,bundle,org.eclipse.core.filebuffers,3.5.0.v20090526-2000,"org.eclipse.core.filebuffers",1276563581161
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1276563581163
started,bundle,org.eclipse.core.jobs,3.4.100.v20090429-1800,"org.eclipse.core.jobs",1276563581165
started,bundle,org.eclipse.core.net,1.2.1.r35x_20090812-1200,"org.eclipse.core.net",1276563581166
started,bundle,org.eclipse.core.resources,3.5.2.R35x_v20091203-1235,"org.eclipse.core.resources",1276563581169
started,bundle,org.eclipse.core.runtime,3.5.0.v20090525,"org.eclipse.core.runtime",1276563581170
started,bundle,org.eclipse.core.runtime.compatibility,3.2.0.v20090413,"org.eclipse.core.runtime.compatibility",1276563581172
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.100.v20090413,"org.eclipse.core.runtime.compatibility.auth",1276563581173
started,bundle,org.eclipse.debug.core,3.5.1.v20091103_r352,"org.eclipse.debug.core",1276563581175
started,bundle,org.eclipse.ecf.filetransfer,3.0.0.v20090831-1906,"org.eclipse.ecf.filetransfer",1276563581176
started,bundle,org.eclipse.emf.common,2.5.0.v200906151043,"org.eclipse.emf.common",1276563581176
started,bundle,org.eclipse.emf.common.ui,2.5.0.v200906151043,"org.eclipse.emf.common.ui",1276563581176
started,bundle,org.eclipse.emf.ecore,2.5.0.v200906151043,"org.eclipse.emf.ecore",1276563581176
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v200906151043,"org.eclipse.emf.ecore.xmi",1276563581178
started,bundle,org.eclipse.emf.edit,2.5.0.v200906151043,"org.eclipse.emf.edit",1276563581178
started,bundle,org.eclipse.emf.edit.ui,2.5.0.v200906151043,"org.eclipse.emf.edit.ui",1276563581178
started,bundle,org.eclipse.epp.usagedata.gathering,1.1.1.R201001291118,"org.eclipse.epp.usagedata.gathering",1276563581179
started,bundle,org.eclipse.epp.usagedata.recording,1.1.1.R201001291118,"org.eclipse.epp.usagedata.recording",1276563581180
started,bundle,org.eclipse.equinox.app,1.2.1.R35x_v20091203,"org.eclipse.equinox.app",1276563581182
started,bundle,org.eclipse.equinox.common,3.5.1.R35x_v20090807-1100,"org.eclipse.equinox.common",1276563581183
started,bundle,org.eclipse.equinox.ds,1.1.1.R35x_v20090806,"org.eclipse.equinox.ds",1276563581184
